driver_id,name,license_number,phone,status
1,Allison Hill,LIC-fL-3218,(900)613-3890x83863,Inactive
2,Abigail Shaffer,LIC-nW-6542,311-661-5594x07816,Active
3,Lisa Hensley,LIC-Qo-9310,001-341-431-6475x25534,Inactive
4,Danielle Ford,LIC-XX-4835,7305564139,Active
5,Jennifer Rocha,LIC-pV-7242,+1-484-996-9653,Active
6,Anthony Rodriguez,LIC-yy-2691,+1-878-448-0184x514,Active
7,Troy Liu,LIC-gO-4828,289-332-5288x0957,Active
8,Sherry Decker,LIC-Kf-4303,671-882-2782,Inactive
9,Tanya Campos,LIC-CH-3465,213.331.5098x393,Active
10,Amy Jones,LIC-pr-0518,+1-873-782-9973x76311,Inactive
11,John Daniel,LIC-Zg-1065,933.587.2624,Inactive
12,Angela Morton,LIC-af-8108,001-932-667-7360x26064,Inactive
13,Tyler Cowan,LIC-sn-8723,4982050097,Active
14,Angela Lopez,LIC-hK-9136,799.609.1699,Active
15,Mike Allen,LIC-uW-6247,607-499-1183,Active
16,Shirley Suarez,LIC-IT-5427,698-608-4124x1182,Inactive
17,Michelle Harris,LIC-df-4874,+1-264-300-5242x7868,Inactive
18,Stephen Mckee,LIC-Jj-8059,(420)545-0533x15869,Active
19,Vanessa Cochran,LIC-YA-6025,+1-534-221-6073x37543,Active
20,Jennifer Ramirez,LIC-zR-1458,+1-350-814-2940,Active
21,Richard Graham,LIC-mq-8169,7607883561,Inactive
22,Belinda Mccullough,LIC-zS-8465,682-636-6299x4680,Inactive
23,Richard Lawson,LIC-Rn-5777,272.214.8951x34332,Active
24,John Atkinson,LIC-mT-1769,001-967-263-2016x328,Active
25,Sylvia Martinez,LIC-Mu-2788,001-979-586-8727x74348,Inactive
26,Billy Mitchell,LIC-fi-4558,(936)823-1665,Active
27,Ross Price,LIC-Ea-9096,(946)268-8937x346,Inactive
28,Michael Yates,LIC-Ib-2729,(599)901-6272x0465,Active
29,Philip Gray,LIC-bV-6417,+1-205-431-0033,Inactive
30,John Wilson,LIC-kM-3745,+1-312-541-9049x663,Inactive
31,Raymond Jefferson,LIC-wI-9190,(451)685-0671x65726,Active
32,Tamara Hampton,LIC-up-7694,247-937-9965,Active
33,Catherine Lewis,LIC-Sr-4549,+1-508-931-3678,Inactive
34,Katherine Mcguire,LIC-Sp-1436,695-678-8568x5574,Inactive
35,Nathan Stewart,LIC-VE-8233,298-494-1343x524,Inactive
36,William Tran,LIC-Ks-2710,277.452.0471x1671,Active
37,Justin Torres,LIC-MM-3186,+1-238-367-7496x499,Active
38,Christine Clark,LIC-Je-1232,(606)679-7403,Active
39,Jordan Mcdaniel,LIC-hI-4936,624.921.0249,Active
40,Michael Lyons,LIC-Cf-4887,+1-606-259-4013x990,Active
41,Casey Stone,LIC-BO-7429,817.256.5512x5674,Inactive
42,Ernest Morris,LIC-DA-6808,6384597703,Active
43,Jessica Wolfe,LIC-Tk-1093,680-886-1317x1274,Inactive
44,Veronica Sanchez,LIC-MG-8263,001-921-446-5840x4499,Inactive
45,John Cook,LIC-mS-8675,896.436.0576,Active
46,Andrew Shaw MD,LIC-Da-1718,001-826-721-7459x6158,Active
47,Stacy Freeman,LIC-pO-8091,+1-643-716-1172x40050,Active
48,Charles Schmidt,LIC-fN-9222,(693)479-2374x7407,Inactive
49,Tony Huerta,LIC-tm-4647,(271)236-9594x4064,Active
50,Natasha Wall,LIC-oO-4395,794.421.0470,Active
51,Edward Burgess,LIC-xH-2328,742.347.4517x12368,Inactive
52,Alexis Herrera,LIC-yO-7549,(613)870-9859x317,Inactive
53,Andrew Johnson,LIC-Ii-7113,(275)786-9261x7964,Active
54,Jeremy Young,LIC-Pw-5158,2642317139,Inactive
55,Dana Martinez,LIC-nL-9318,635.429.0422,Inactive
56,Sean Anderson,LIC-bl-5395,302-968-1177x589,Active
57,Theresa Williams,LIC-dE-8470,(761)877-1159x2124,Inactive
58,Kerry Chavez DDS,LIC-BC-1183,765.676.6156,Inactive
59,Christian Leblanc,LIC-Bg-1111,001-252-680-9885x1656,Active
60,Heather Lane,LIC-gw-3273,+1-251-649-3689,Inactive
61,Donald Farmer,LIC-jK-5502,+1-661-720-1836x67525,Active
62,Latoya Miller,LIC-dR-0229,547-367-9764,Inactive
63,Brian Gregory,LIC-co-9784,(990)803-4324x4510,Inactive
64,James Padilla,LIC-zV-8851,8608715969,Inactive
65,Jared Burch,LIC-fB-2975,736-596-8164,Active
66,Christopher Dixon,LIC-Xw-1883,(923)912-4329x212,Active
67,Olivia Cole,LIC-jC-9955,377-644-9058,Inactive
68,Andrew Wood,LIC-MG-4119,(279)980-7935x9782,Active
69,Steven Cooper,LIC-pT-1820,278.789.2554x665,Inactive
70,Brandon Gregory,LIC-vf-4492,001-825-746-2914,Inactive
71,Meagan Calderon,LIC-xb-8168,(342)235-7332x214,Active
72,Sherri Williamson,LIC-lS-9622,001-592-670-6537x94738,Inactive
73,Rachel Mckee,LIC-DX-3597,368-386-2392x4075,Active
74,Phillip Nelson,LIC-oC-8261,(206)706-8536x153,Active
75,Sara Santos,LIC-ES-2204,(477)890-1043,Active
76,Dwayne Turner,LIC-De-0369,679-880-8932,Inactive
77,Harry Duncan,LIC-eH-2185,+1-788-680-6706,Inactive
78,Heather Jones,LIC-ic-3195,(585)227-7221x704,Inactive
79,Stacey Stewart,LIC-Eq-4868,8348505415,Inactive
80,Stephanie Hughes,LIC-ZH-2775,716-616-9284x511,Active
81,Lance Simmons,LIC-Uw-7570,+1-964-201-6582x029,Active
82,David Brewer,LIC-Mj-5690,+1-375-257-1928x56543,Active
83,Kathryn Hughes,LIC-TC-8144,494.973.1217,Inactive
84,Rita Ponce DVM,LIC-st-5188,(925)283-1323,Active
85,Kenneth Mcdonald,LIC-et-8291,(778)466-9125x1778,Inactive
86,Penny Bowman,LIC-dh-2268,624.422.5358x41438,Active
87,Lisa Davis,LIC-kQ-2992,+1-895-290-0109x439,Inactive
